CID,CCS [A^2],Adduct,Additional_Info,Source,Reference,SMILES
457,126.4,[M]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[N+]1=CC=CC(=C1)C(=O)N
135445750,166.5,[M]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CN1C=[N+](C2=C1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
9068,182,[M]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O.[Cl-]
14180,165.2,[M]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N
5879,166.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
5881,166,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
780,135.9,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1O)CC(=O)O)O
5757,159.7,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
439260,137.3,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1[C@H](CN)O)O)O
439260,136.8,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1[C@H](CN)O)O)O
1066,130.5,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(N=C1)C(=O)O)C(=O)O
65553,179.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O)O
1245,133.3,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,COC1=C(C=CC(=C1)C(C(=O)O)O)O
1150,125.1,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC=C2C(=C1)C(=CN2)CCN
54675830,119,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=CC=C1C(=O)O)[O-]
439763,220.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
9903,193.4,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
227,118.8,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC=C(C(=C1)C(=O)O)N
65728,204.5,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
246983,207.3,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
864,133.8,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1CSSC1CCCCC(=O)O
72,122.3,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1C(=O)O)O)O
85782,132,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1C(C(=O)O)O)O)O
689043,129.9,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
637542,127,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=CC=C1/C=C/C(=O)O)O
69475,121.2,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC=C(C=C1)C#CC(=O)O
5281120,196.8,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O
449171,169.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C
637540,124.1,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC=C(C(=C1)/C=C/C(=O)O)O
439577,199.4,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
439322,164.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC(C)(CO)[C@H](C(=O)NCCC(=O)NCCS)O
247020,178.4,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CC[C@@H](C4)O)C
167685,205.2,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O
101399,125.7,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC=C(C(=C1)C(=O)O)NC=O
7172,134.4,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CNCC(C1=CC=C(C=C1)O)O
15560610,199.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O
80817,149.5,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC(C)C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N
11811,137.5,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N
5289090,173.3,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
1549095,128.6,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,COC1=C(C=CC(=C1)/C=C/CO)O
5280507,136.5,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,COC1=CC(=CC(=C1O)OC)/C=C/CO
5816,138.3,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
1123,135.4,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C(CS(=O)(=O)O)N
439213,132.9,[M+H-H2O]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O
440707,187.4,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
440707,187.4,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
223578,186.5,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C
6723,135.8,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC1=NC=C(C(=C1O)C(=O)O)CO
439744,158.8,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O
171548,150.4,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
439224,151,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN
5839,187.7,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O
135398687,154.1,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@@H]([C@@H](C1=NC2=C(NC1)N=C(NC2=O)N)O)O
247,121.4,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[N+](C)(C)CC(=O)[O-]
54670067,138.6,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
16950,163.9,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O
6128,173.3,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
159296,182.5,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N
5754,189.1,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
586,125.9,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CN(CC(=O)O)C(=N)N
135398593,151.7,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CNC3=O)CO)O
93556,131.2,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,CC1CNC(=O)NC1=O
657272,155.5,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O
439258,147,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N
13730,152.3,[M+H]+,"CCS Type: DT, Method: single field calibrated with Agilent tune mix (Agilent)",CCSbase,https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O
